term,anti_term_one,anti_term_two
cancer,,
neoplasm,,
tumor,,
malignancy,,
oncology,,
neoplasia,,
neoplastic,,
carcinoma,,
lymphoma,,
metastatic,,
metastasis,,
metastases,,
leukemia,,
leukaemia,,
myeloma,,
mesothelioma,,
malignan,,
hnscc,,
melanoma,,
polycythemia vera,,
blastoma,,
sarcoma,,
nsclc,,
gist,regist,logist
crpc,,
myelodysplastic syndrome,,
mds,,
cytoma,,
waldenstrom macroglobulinemia,,
myelofibrosis,,
hodgkin,,
cml,,
aml,,
glioma,,
ependymoma,,
seminoma,,
chordoma,,
pseudomyxoma peritonei,,
fibroxanthoma,,
